"","voyage_id","ship_name","port_origin","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","state"
"780",91911,"Meredith","Liverpool","Sierra Leone estuary","St. Augustine",1775,286,"Woodville, William<br/> Grace<br/> Wendover, John","Florida"
"781",91959,"Hope","Liverpool","Gambia","Charleston",1773,100,"Turnand, John","South Carolina"
"782",91999,"Caton","Liverpool","Gambia","Charleston",1774,230,"McCutchan, Samuel<br/> Williams, Joseph","South Carolina"
"783",92312,"Chance","St. Kitts, port unspecified","Sierra Leone estuary","Savannah",1774,98,"Bootle, William","Georgia"
"784",92324,"Thomas","Liverpool","Gambia","Rappahannock",1744,114,"Wilson, Daniel","Virginia"
"785",92328,"Bridgett","Liverpool","Africa., port unspecified","South Potomac",1740,53,"Rosson, Henry<br/> Plume<br/> Carrel, James","Maryland"
"786",92329,"Liverpool Merchant","Liverpool","Africa., port unspecified","South Potomac",1739,130,"Lyon, John<br/> Goulding, Alexander","Maryland"
"787",92330,"Vine","Liverpool","Gambia","Rappahannock",1739,156,"Cutler, Egerton","Virginia"
"788",92331,"Dove","Liverpool","Africa., port unspecified","Upper James River",1739,106,"Corrin, William","Virginia"
"789",92332,"Liverpool Merchant","Liverpool","West Central Africa and St. Helena, port unspecified","South Potomac",1738,70,"Hassall, Thomas","Maryland"
"790",92333,"Alice","Liverpool","Gambia","Rappahannock",1738,121,"Cutler, Egerton","Virginia"
"791",92335,"Stannage","Liverpool","Gambia","Upper James River",1737,183,"Hill, Thomas","Virginia"
"792",92336,"Thomas","Liverpool","Gambia","South Potomac",1737,97,"Smith, Henry","Maryland"
"793",92337,"Liverpool Merchant","Liverpool","Gambia","South Potomac",1737,190,"Goulding, Matthew<br/> Bootle, James","Maryland"
"794",92339,"Johnson","Liverpool","Malembo","Maryland, port unspecified",1737,495,"Gildart, James","Maryland"
"795",92340,"Stannage","Liverpool","Gambia","Upper James River",1736,180,"Hill, Thomas","Virginia"
"796",92341,"Antelope","Liverpool","Anomabu","Rappahannock",1736,279,"Birch<br/> Hurst, James","Virginia"
"797",92342,"Alice","Liverpool","Africa., port unspecified","Rappahannock",1736,90,"Hamilton, Thomas","Virginia"
"798",92343,"Prince William","Liverpool","Gambia","York River",1736,166,"Gildart, Geo<br/> Hayes, William","Virginia"
"799",92344,"Liverpool Merchant","Liverpool","Africa., port unspecified","South Potomac",1736,193,"Goulding, Matthew","Maryland"
"800",92345,"Thomas","Liverpool","Gambia","York River",1736,137,"Smith, Henry","Virginia"
"801",92346,"Lively","Liverpool","Africa., port unspecified","Upper James River",1735,139,"Cullum, Francis","Virginia"
